Package              Current    Wanted   Latest  Location                         Depended by
@azure/ai-projects     1.0.0     1.0.1    1.0.1  node_modules/@azure/ai-projects  iehome
@azure/identity       4.11.1    4.13.0   4.13.0  node_modules/@azure/identity     iehome
@babylonjs/loaders     7.6.1    7.54.3   8.43.0  node_modules/@babylonjs/loaders  iehome
@headlessui/react      2.0.3     2.2.9    2.2.9  node_modules/@headlessui/react   iehome
@heroicons/react       2.1.3     2.2.0    2.2.0  node_modules/@heroicons/react    iehome
@react-three/drei    9.105.6   9.122.0   10.7.7  node_modules/@react-three/drei   iehome
@react-three/fiber    8.16.6    8.18.0    9.4.2  node_modules/@react-three/fiber  iehome
@react-three/xr        5.7.1     5.7.1   6.6.28  node_modules/@react-three/xr     iehome
@tailwindcss/forms     0.5.7    0.5.11   0.5.11  node_modules/@tailwindcss/forms  iehome
@types/aframe          1.2.6     1.2.9    1.2.9  node_modules/@types/aframe       iehome
@types/cytoscape      3.21.7    3.21.9   3.21.9  node_modules/@types/cytoscape    iehome
@types/node          20.16.3  20.19.27   25.0.3  node_modules/@types/node         iehome
aframe                 1.5.0     1.7.1    1.7.1  node_modules/aframe              iehome
babylonjs              7.6.1    7.54.3   8.43.0  node_modules/babylonjs           iehome
cytoscape             3.30.2    3.33.1   3.33.1  node_modules/cytoscape           iehome
ethers                6.12.1    6.16.0   6.16.0  node_modules/ethers              iehome
html-react-parser     5.1.15    5.2.11   5.2.11  node_modules/html-react-parser   iehome
openai                4.57.1   4.104.0   6.15.0  node_modules/openai              iehome
pino-pretty           11.0.0    11.3.0   13.1.3  node_modules/pino-pretty         iehome
postcss               8.4.38     8.5.6    8.5.6  node_modules/postcss             iehome
react-icons            5.3.0     5.5.0    5.5.0  node_modules/react-icons         iehome
react-markdown         9.0.1     9.1.0   10.1.0  node_modules/react-markdown      iehome
react-use             17.5.0    17.6.0   17.6.0  node_modules/react-use           iehome
recharts              2.12.7    2.15.4    3.6.0  node_modules/recharts            iehome
remark-gfm             4.0.0     4.0.1    4.0.1  node_modules/remark-gfm          iehome
tailwindcss            3.4.3    3.4.19   4.1.18  node_modules/tailwindcss         iehome
thirdweb            5.105.33   5.116.1  5.116.1  node_modules/thirdweb            iehome
typescript             5.5.4     5.9.3    5.9.3  node_modules/typescript          iehome
